ID   Number   Group
0   0   0
1   1   1
2   2   2
3   3   3
4   4   4
5   5   5
6   6   6
7   7   7
8   8   8
9   9   9
10   10   0
11   11   1
12   12   2
13   13   3
14   14   4
15   15   5
16   16   6
17   17   7
18   18   8
19   19   9
20   20   0
21   21   1
22   22   2
23   23   3
24   24   4
25   25   5
26   26   6
27   27   7
28   28   8
29   29   9
30   30   0
31   31   1
32   32   2
33   33   3
34   34   4
35   35   5
36   36   6
37   37   7
38   38   8
39   39   9
40   40   0
41   41   1
42   42   2
43   43   3
44   44   4
45   45   5
46   46   6
47   47   7
48   48   8
49   49   9
50   50   0
51   51   1
52   52   2
53   53   3
54   54   4
55   55   5
56   56   6
57   57   7
58   58   8
59   59   9
60   60   0
61   61   1
62   62   2
63   63   3
64   64   4
65   65   5
66   66   6
67   67   7
68   68   8
69   69   9
70   70   0
71   71   1
72   72   2
73   73   3
74   74   4
75   75   5
76   76   6
77   77   7
78   78   8
79   79   9
80   80   0
81   81   1
82   82   2
83   83   3
84   84   4
85   85   5
86   86   6
87   87   7
88   88   8
89   89   9
90   90   0
91   91   1
92   92   2
93   93   3
94   94   4
95   95   5
96   96   6
97   97   7
98   98   8
99   99   9
100   100   0
101   101   1
102   102   2
103   103   3
104   104   4
105   105   5
106   106   6
107   107   7
108   108   8
109   109   9
110   110   0
111   111   1
112   112   2
113   113   3
114   114   4
115   115   5
116   116   6
117   117   7
118   118   8
119   119   9
120   120   0
121   121   1
122   122   2
123   123   3
124   124   4
125   125   5
126   126   6
127   127   7
128   128   8
129   129   9
130   130   0
131   131   1
132   132   2
133   133   3
134   134   4
135   135   5
136   136   6
137   137   7
138   138   8
139   139   9
140   140   0
141   141   1
142   142   2
143   143   3
144   144   4
145   145   5
146   146   6
147   147   7
148   148   8
149   149   9
150   150   0
151   151   1
152   152   2
153   153   3
154   154   4
155   155   5
156   156   6
157   157   7
158   158   8
159   159   9
160   160   0
161   161   1
162   162   2
163   163   3
164   164   4
165   165   5
166   166   6
167   167   7
168   168   8
169   169   9
170   170   0
171   171   1
172   172   2
173   173   3
174   174   4
175   175   5
176   176   6
177   177   7
178   178   8
179   179   9
180   180   0
181   181   1
182   182   2
183   183   3
184   184   4
185   185   5
186   186   6
187   187   7
188   188   8
189   189   9
190   190   0
191   191   1
192   192   2
193   193   3
194   194   4
195   195   5
196   196   6
197   197   7
198   198   8
199   199   9
200   200   0
201   201   1
202   202   2
203   203   3
204   204   4
205   205   5
206   206   6
207   207   7
208   208   8
209   209   9
210   210   0
211   211   1
212   212   2
213   213   3
214   214   4
215   215   5
216   216   6
217   217   7
218   218   8
219   219   9
220   220   0
221   221   1
222   222   2
223   223   3
224   224   4
225   225   5
226   226   6
227   227   7
228   228   8
229   229   9
230   230   0
231   231   1
232   232   2
233   233   3
234   234   4
235   235   5
236   236   6
237   237   7
238   238   8
239   239   9
240   240   0
241   241   1
242   242   2
243   243   3
244   244   4
245   245   5
246   246   6
247   247   7
248   248   8
249   249   9
250   250   0
251   251   1
252   252   2
253   253   3
254   254   4
255   255   5
256   256   6
257   257   7
258   258   8
259   259   9
260   260   0
261   261   1
262   262   2
263   263   3
264   264   4
265   265   5
266   266   6
267   267   7
268   268   8
269   269   9
270   270   0
271   271   1
272   272   2
273   273   3
274   274   4
275   275   5
276   276   6
277   277   7
278   278   8
279   279   9
280   280   0
281   281   1
282   282   2
283   283   3
284   284   4
285   285   5
286   286   6
287   287   7
288   288   8
289   289   9
290   290   0
291   291   1
292   292   2
293   293   3
294   294   4
295   295   5
296   296   6
297   297   7
298   298   8
299   299   9
300   300   0
301   301   1
302   302   2
303   303   3
304   304   4
305   305   5
306   306   6
307   307   7
308   308   8
309   309   9
310   310   0
311   311   1
312   312   2
313   313   3
314   314   4
315   315   5
316   316   6
317   317   7
318   318   8
319   319   9
320   320   0
321   321   1
322   322   2
323   323   3
324   324   4
325   325   5
326   326   6
327   327   7
328   328   8
329   329   9
330   330   0
331   331   1
332   332   2
333   333   3
334   334   4
335   335   5
336   336   6
337   337   7
338   338   8
339   339   9
340   340   0
341   341   1
342   342   2
343   343   3
344   344   4
345   345   5
346   346   6
347   347   7
348   348   8
349   349   9
350   350   0
351   351   1
352   352   2
353   353   3
354   354   4
355   355   5
356   356   6
357   357   7
358   358   8
359   359   9
360   360   0
361   361   1
362   362   2
363   363   3
364   364   4
365   365   5
366   366   6
367   367   7
368   368   8
369   369   9
370   370   0
371   371   1
372   372   2
373   373   3
374   374   4
375   375   5
376   376   6
377   377   7
378   378   8
379   379   9
380   380   0
381   381   1
382   382   2
383   383   3
384   384   4
385   385   5
386   386   6
387   387   7
388   388   8
389   389   9
390   390   0
391   391   1
392   392   2
393   393   3
394   394   4
395   395   5
396   396   6
397   397   7
398   398   8
399   399   9
400   400   0
401   401   1
402   402   2
403   403   3
404   404   4
405   405   5
406   406   6
407   407   7
408   408   8
409   409   9
410   410   0
411   411   1
412   412   2
413   413   3
414   414   4
415   415   5
416   416   6
417   417   7
418   418   8
419   419   9
420   420   0
421   421   1
422   422   2
423   423   3
424   424   4
425   425   5
426   426   6
427   427   7
428   428   8
429   429   9
430   430   0
431   431   1
432   432   2
433   433   3
434   434   4
435   435   5
436   436   6
437   437   7
438   438   8
439   439   9
440   440   0
441   441   1
442   442   2
443   443   3
444   444   4
445   445   5
446   446   6
447   447   7
448   448   8
449   449   9
450   450   0
451   451   1
452   452   2
453   453   3
454   454   4
455   455   5
456   456   6
457   457   7
458   458   8
459   459   9
460   460   0
461   461   1
462   462   2
463   463   3
464   464   4
465   465   5
466   466   6
467   467   7
468   468   8
469   469   9
470   470   0
471   471   1
472   472   2
473   473   3
474   474   4
475   475   5
476   476   6
477   477   7
478   478   8
479   479   9
480   480   0
481   481   1
482   482   2
483   483   3
484   484   4
485   485   5
486   486   6
487   487   7
488   488   8
489   489   9
490   490   0
491   491   1
492   492   2
493   493   3
494   494   4
495   495   5
496   496   6
497   497   7
498   498   8
499   499   9
500   500   0
501   501   1
502   502   2
503   503   3
504   504   4
505   505   5
506   506   6
507   507   7
508   508   8
509   509   9
510   510   0
511   511   1
512   512   2
513   513   3
514   514   4
515   515   5
516   516   6
517   517   7
518   518   8
519   519   9
520   520   0
521   521   1
522   522   2
523   523   3
524   524   4
525   525   5
526   526   6
527   527   7
528   528   8
529   529   9
530   530   0
531   531   1
532   532   2
533   533   3
534   534   4
535   535   5
536   536   6
537   537   7
538   538   8
539   539   9
540   540   0
541   541   1
542   542   2
543   543   3
544   544   4
545   545   5
546   546   6
547   547   7
548   548   8
549   549   9
550   550   0
551   551   1
552   552   2
553   553   3
554   554   4
555   555   5
556   556   6
557   557   7
558   558   8
559   559   9
560   560   0
561   561   1
562   562   2
563   563   3
564   564   4
565   565   5
566   566   6
567   567   7
568   568   8
569   569   9
570   570   0
571   571   1
572   572   2
573   573   3
574   574   4
575   575   5
576   576   6
577   577   7
578   578   8
579   579   9
580   580   0
581   581   1
582   582   2
583   583   3
584   584   4
585   585   5
586   586   6
587   587   7
588   588   8
589   589   9
590   590   0
591   591   1
592   592   2
593   593   3
594   594   4
595   595   5
596   596   6
597   597   7
598   598   8
599   599   9
600   600   0
601   601   1
602   602   2
603   603   3
604   604   4
605   605   5
606   606   6
607   607   7
608   608   8
609   609   9
610   610   0
611   611   1
612   612   2
613   613   3
614   614   4
615   615   5
616   616   6
617   617   7
618   618   8
619   619   9
620   620   0
621   621   1
622   622   2
623   623   3
624   624   4
625   625   5
626   626   6
627   627   7
628   628   8
629   629   9
630   630   0
631   631   1
632   632   2
633   633   3
